abbot	abbess
abbots	abbesses
actor	actress
actors	actresses
adultor	adultress
adultors	adultresses
airman	airwoman
airmen	airwomen
androgen	estrogen
andrology	obstetrics
andropause	menopause
bachelor	spinster
bachelor	maiden
bachelor	bachelorette
bachelor	spinster
bachelors	spinsters
ballet_dancer	ballerina
barbershop	hair_salon
baritone	mezzo
barman	barwoman
barmen	barwomen
baron	baroness
barons	barnoesses
beard	toque
beards	toques
beau	belle
beaus	belles
beaus	belles
bellboy	bellgirl
bellboys	bellgirls
bloke	wench
blokes	wenches
boy	girl
boyfriend	girlfriend
boyfriends	girlfriends
boyhood	girlhood
boys	girls
brethren	sistren
bridegroom	bride
bridegrooms	brides
brideprice	dowry
brother	sister
brotherhood	sisterhood
brothers	sisters
bull	cow
bulls	cows
busboy	busgirl
busboys	busgirls
businessman	businesswoman
businessmen	businesswomen
cameraman	camerawoman
cameramen	camerawomen
camerawomen	cameramen
chairman	chairwoman
chairmen	chairwomen
chap	lass
cialis	viagra
colt	filly
colts	fillies
congressman	congresswoman
councilman	councilwoman
countrymen	countrywomen
cowboy	cowgirl
cowboys	cowgirls
czar	czarina
dad	mom
daddies	mommies
daddy	mommy
dads	moms
deer	doe
divo	diva
dude	gal
dudes	gals
duke	duchess
dukes	duchesses
emperor	empress
emperors	empresses
enchanter	enchantress
father	mother
fathered	mothered
fatherhood	motherhood
fathers	mothers
fathers	mothers
fella	lady
fellas	ladies
fiance	fiancee
fiances	fiancees
fraternal	sororal
fraternities	sororities
fraternity	sorority
gay	lesbian
gays	lesbians
gelding	mare
gentleman	lady
gentlemen	ladies
gents	ladies
god	goddess
god	godess
godfather	godmother
gods	godesses
governor	governess
governors	governesses
grandfather	grandmother
grandfathers	grandmothers
grandpa	grandma
grandson	granddaughter
grandsons	granddaughters
groom	bride
grooms	brides
guy	gal
guys	gals
handyman	handywoman
he	she
headmaster	headmistress
headmasters	headmistresses
heir	heiress
hero	heroine
heros	heroines
him	her
himself	herself
his	her
his	hers
horsemen	horsewomen
host	hostess
hosts	hostesses
househusband	housewife
househusbands	housewives
hubby	wife
husband	wife
husbands	wives
king	queen
kings	queens
lad	lass
lads	lasses
landlord	landlady
landlords	landladies
lion	lioness
lions	lionesses
lord	lady
lords	ladies
macho	effeminate
male	female
male_host	hostess
male_word	female_word
males	females
man	woman
manservant	maidservant
manservant	maid
manservants	maidservants
marquis	marchioness
masculism	feminism
masseur	masseuse
masseurs	masseuses
master	mistress
masters	mistresses
men	women
menservants	maids
mentleman	lady
monastery	convent
monk	nun
waiter	waitress
mr.	mrs.
nephew	niece
nephews	nieces
pa	ma
papa	mama
paramour	mistress
paternal	maternal
paternity	maternity
patriarch	matriarch
penis	vagina
policeman	policewoman
priest	priestess
priests	priestesses
prince	princess
princes	princesses
prostate	skene_gland
prostatic_utricle	womb
prostatic_utricle	uterus
rooster	hen
roosters	hens
salesman	saleswoman
salesmen	saleswomen
schoolboy	schoolgirl
semen	female_ejaculation
sir	madam
son	daughter
uncle	aunt
sorcerer	sorceress
sorcerers	sorceresses
wizard	witch
spokesman	spokeswoman
